Index,FFT_Real,FFT_Imag,DFT_Real,DFT_Imag
40,-1968.554688,102.471527,-1968.553589,102.492905
41,-2100.942139,213.927673,-2100.931641,213.922379
42,-2268.622559,344.367065,-2268.623291,344.406708
43,-2484.514404,501.598724,-2484.506836,501.618073
44,-2769.169189,697.933655,-2769.178711,697.975037
45,-3157.362061,954.073181,-3157.360596,954.101379
46,-3712.740479,1307.773071,-3712.744873,1307.760986
47,-4565.516113,1836.144409,-4565.531250,1836.240967
48,-6030.072266,2725.186768,-6030.049805,2725.190430
49,-9108.078125,4567.405762,-9108.183594,4567.563965
50,-19628.943359,10810.312500,-19628.972656,10810.322266
51,93742.562500,-56216.679688,93741.804688,-56217.675781
52,13331.947266,-8643.183594,13331.992188,-8643.266602
53,7040.281250,-4903.845703,7040.235840,-4903.902832
54,4723.019043,-3515.651855,4723.031738,-3515.768311
55,3520.586914,-2787.425781,3520.572021,-2787.424805
56,2785.890869,-2336.425293,2785.944580,-2336.459717
57,2291.343018,-2028.023560,2291.359863,-2028.034790
58,1936.342407,-1802.697144,1936.339233,-1802.706055
59,1669.557739,-1630.060059,1669.577881,-1630.059204
60,1462.054443,-1492.949463,1462.067139,-1492.970093
61,1296.278931,-1380.958496,1296.296753,-1380.998657
62,1160.964233,-1287.400146,1160.959473,-1287.393555
63,1048.544800,-1207.790649,1048.576172,-1207.800781
64,953.786743,-1139.006348,953.801636,-1139.011719
65,872.913269,-1078.821167,872.914246,-1078.823608
66,803.191040,-1025.480103,803.205200,-1025.503540
67,742.395081,-977.817383,742.398193,-977.839844
68,689.149109,-934.879211,689.199524,-934.884399
69,642.035583,-895.823914,642.045898,-895.824036
70,600.082581,-860.098572,600.107422,-860.106934
71,562.566406,-827.267334,562.581360,-827.277039
72,528.812073,-796.913513,528.812744,-796.915833
73,498.323669,-768.700867,498.339325,-768.694824
74,470.654388,-742.373901,470.663269,-742.378906
75,445.436981,-717.694885,445.455444,-717.702698
76,422.386566,-694.495178,422.395050,-694.493958
77,401.229492,-672.609741,401.226227,-672.603394
78,381.772675,-651.895386,381.782074,-651.906738
79,363.810089,-632.228638,363.817535,-632.208313
80,347.197723,-613.512878,347.214172,-613.523743
81,331.787048,-595.661743,331.791351,-595.667053
82,317.455017,-578.589661,317.454010,-578.591797
83,304.109711,-562.232727,304.131744,-562.242432
84,291.645844,-546.524109,291.668213,-546.539795
85,279.988678,-531.403870,279.984772,-531.404175
86,269.067963,-516.841125,269.070679,-516.844849
87,258.806976,-502.771393,258.828247,-502.774384
88,249.169540,-489.171112,249.201523,-489.183075
89,240.092773,-475.999054,240.086731,-476.011902
90,231.536255,-463.214355,231.545517,-463.218231
91,223.449097,-450.798859,223.468063,-450.815552
92,215.801254,-438.721252,215.792633,-438.725189
93,208.566101,-426.960968,208.564484,-426.954132
94,201.703125,-415.497101,201.720230,-415.505249
95,195.205139,-404.298035,195.234985,-404.309998
96,189.029953,-393.349396,189.024429,-393.356995
97,183.153412,-382.622070,183.168015,-382.632324
98,177.556458,-372.109070,177.581711,-372.110565
99,172.216766,-361.805939,172.207565,-361.801453
100,167.125168,-351.689117,167.130386,-351.688751
101,162.266556,-341.755341,162.286530,-341.762909
102,157.623840,-331.971954,157.649109,-331.978210
103,153.196426,-322.338196,153.195053,-322.338867
104,148.950638,-312.837372,148.964188,-312.837097
105,144.885117,-303.458405,144.905212,-303.469543
106,140.978745,-294.212616,140.974213,-294.222107
107,137.248825,-285.053406,137.258438,-285.058594
108,133.653976,-276.000183,133.673981,-276.002228
109,130.211426,-267.034302,130.206223,-267.031860
110,126.901093,-258.146515,126.904305,-258.147797
111,123.717606,-249.326828,123.733925,-249.328644
112,120.654465,-240.564697,120.676346,-240.572128
113,117.706009,-231.862671,117.715294,-231.867676
114,114.867775,-223.205200,114.876007,-223.209167
115,112.136177,-214.590988,112.146027,-214.582703
116,109.487511,-206.002151,109.483955,-206.004730
117,106.939278,-197.433594,106.943367,-197.446976
118,104.485825,-188.889969,104.494850,-188.885376
119,102.106796,-180.350098,102.128922,-180.360199
120,99.815567,-171.815521,99.818619,-171.805832
121,97.591911,-163.273010,97.600006,-163.274582
122,95.445854,-154.715775,95.465523,-154.717728
123,93.373146,-146.144623,93.367371,-146.147583
124,91.368034,-137.549225,91.375526,-137.553711
125,89.429893,-128.917664,89.446579,-128.925339
126,87.520889,-120.261330,87.545563,-120.271957
127,85.682739,-111.531265,85.675804,-111.536293
128,83.982155,-102.757393,83.995842,-102.757278
129,82.207397,-93.890762,82.225197,-93.888397
130,80.555397,-84.976997,80.551796,-84.975960
131,78.941849,-75.986786,78.949257,-75.989296
132,77.369766,-66.906769,77.383949,-66.908081
133,75.832237,-57.729988,75.856758,-57.736320
134,74.345703,-48.438450,74.352501,-48.440914
135,72.910690,-39.033318,72.920029,-39.036964
136,71.513435,-29.504025,71.535263,-29.503963
137,70.157890,-19.830132,70.159531,-19.828119
138,68.834366,-10.012625,68.834503,-10.017800
139,67.544510,-0.027385,67.563080,-0.027354
140,66.289322,10.121724,66.316933,10.118241
141,65.064148,20.455847,65.072289,20.449114
142,63.877071,30.988775,63.891861,30.982283
143,62.717850,41.730099,62.740463,41.729103
144,61.586422,52.706829,61.586834,52.710148
145,60.488026,63.923153,60.499004,63.921848
146,59.410091,75.401321,59.430550,75.396469
147,58.367451,87.155312,58.396137,87.157967
148,57.344116,99.207726,57.350792,99.205093
149,56.349560,111.582283,56.362118,111.582993
150,55.380791,124.293312,55.403839,124.289856
151,54.428158,137.377533,54.434357,137.370117
152,53.502949,150.849472,53.520611,150.849915
153,52.598358,164.736816,52.621517,164.734039
154,51.715332,179.087204,51.715313,179.089203
155,50.848263,193.905823,50.856197,193.904617
156,50.000286,209.255280,50.014042,209.250122
157,49.181355,225.153641,49.205956,225.150925
158,48.372269,241.655243,48.373917,241.654800
159,47.587391,258.808990,47.603439,258.808044
160,46.815224,276.652893,46.840717,276.653656
161,46.056892,295.260864,46.058224,295.256012
162,45.324768,314.676483,45.336369,314.677917
163,44.593620,334.977783,44.577850,334.979279
164,43.893738,356.249298,43.891163,356.247345
165,43.195915,378.547974,43.200020,378.543457
166,42.522522,401.999084,42.541622,401.984375
167,41.859241,426.693390,41.887299,426.693756
168,41.207500,452.747223,41.245720,452.745453
169,40.575333,480.293457,40.629417,480.292480
170,39.946594,509.483612,39.929661,509.479279
171,39.333900,540.495239,39.329220,540.491272
172,38.737881,573.508179,38.742420,573.506531
173,38.146851,608.759216,38.164707,608.759827
174,37.575188,646.491699,37.611290,646.495300
175,37.004330,687.006958,37.044643,687.007324
176,36.450222,730.660156,36.514484,730.657837
177,35.908882,777.831238,35.895302,777.829102
178,35.372612,829.012817,35.370373,829.004822
179,34.857140,884.755615,34.862591,884.751465
180,34.333584,945.735657,34.361904,945.736023
181,33.834656,1012.774841,33.875652,1012.769836
182,33.339626,1086.832886,33.404419,1086.832520
183,32.850666,1169.144043,32.929058,1169.149170
184,32.374340,1261.182617,32.355007,1261.184692
185,31.896227,1364.862671,31.889727,1364.857178
186,31.436903,1482.595459,31.460669,1482.594971
187,30.983244,1617.482666,31.028006,1617.478394
188,30.537477,1773.677734,30.604969,1773.686401
189,30.106615,1956.716309,30.205038,1956.715942
190,29.660755,2174.298828,29.791531,2174.292480
191,29.241533,2437.333740,29.210455,2437.336914
192,28.820293,2761.841309,28.829588,2761.843750
193,28.405590,3172.466797,28.440405,3172.464600
194,28.002045,3708.901367,28.087648,3708.903076
195,27.582474,4439.851074,27.719582,4439.863281
196,27.191788,5494.963867,27.421745,5494.983398
197,26.777267,7152.084961,27.123789,7152.106934
198,26.350098,10133.693359,26.268515,10133.658203
199,25.871674,17088.701172,25.909618,17088.640625
200,24.885620,51857.589844,25.482275,51858.125000
201,26.366821,-52444.722656,25.320040,-52444.253906
202,25.384827,-17674.833984,24.900093,-17674.798828
203,24.942261,-10719.783203,24.590178,-10719.671875
204,24.545288,-7738.261230,24.186804,-7738.256348
205,24.151337,-6081.227539,24.210978,-6081.225586
206,23.832794,-5026.263184,23.801949,-5026.231934
207,23.476845,-4295.502441,23.434570,-4295.509766
208,23.187126,-3759.223145,23.118973,-3759.240723
209,22.856583,-3348.923096,22.774830,-3348.904785
210,22.452179,-3024.590820,22.355713,-3024.614258
211,22.361198,-2761.888672,22.257996,-2761.874512
212,22.004765,-2544.479004,21.986040,-2544.476074
213,21.522076,-2361.913330,21.508648,-2361.916504
214,21.301071,-2205.997070,21.281328,-2205.989746
215,21.042522,-2071.597656,21.015877,-2071.606934
216,20.709274,-1954.294189,20.658695,-1954.300903
217,20.457119,-1851.085815,20.397718,-1851.076416
218,20.153660,-1759.543823,20.162918,-1759.543335
219,19.902626,-1677.738403,19.873030,-1677.702759
220,19.639114,-1604.263062,19.628845,-1604.255127
221,19.349827,-1537.809082,19.337044,-1537.809814
222,19.102982,-1477.452881,19.087385,-1477.473022
223,18.829281,-1422.364258,18.797628,-1422.365723
224,18.595016,-1371.861206,18.565302,-1371.892334
225,18.339273,-1325.418823,18.394081,-1325.432373
226,18.076626,-1282.506836,18.046854,-1282.552246
227,17.844175,-1242.765625,17.835165,-1242.764404
228,17.602922,-1205.840332,17.592808,-1205.844116
229,17.396107,-1171.459961,17.377048,-1171.462036
230,17.135345,-1139.265991,17.122408,-1139.268799
231,16.899807,-1109.209473,16.885176,-1109.217773
232,16.663527,-1080.975586,16.664495,-1080.968262
233,16.424181,-1054.396606,16.479887,-1054.491089
234,16.217604,-1029.349854,16.208109,-1029.364136
235,16.000618,-1005.721924,15.976860,-1005.720642
236,15.785305,-983.359375,15.774102,-983.368958
237,15.568605,-962.184265,15.560318,-962.180603
238,15.344942,-942.075500,15.330092,-942.086304
239,15.146952,-922.965149,15.148112,-922.967407
240,14.933462,-904.789612,14.473225,-905.329529
241,14.732351,-887.462219,14.722448,-887.452576
242,14.527842,-870.935120,14.521098,-870.932251
243,14.325775,-855.131836,14.312109,-855.130493
244,14.137707,-840.017944,14.131573,-840.015564
245,13.939659,-825.554443,13.930161,-825.543335
246,13.747274,-811.688538,13.752619,-811.698547
247,13.553972,-798.388306,13.542531,-798.386414
248,13.360493,-785.600098,13.344398,-785.598083
249,13.183191,-773.312378,13.179217,-773.314331
250,13.001545,-761.494141,12.973219,-761.507446
251,12.819441,-750.126221,12.824717,-750.134155
252,12.648455,-739.129517,12.641689,-739.147644
253,12.459082,-728.549988,12.462363,-728.549927
254,12.283176,-718.337341,12.287798,-718.339783
255,12.106060,-708.464661,12.096506,-708.467896
256,11.938854,-698.922302,11.942090,-698.914551
257,11.768114,-689.698669,11.793158,-689.673096
258,11.600401,-680.762817,11.609945,-680.756226
259,11.434191,-672.114624,11.425456,-672.117920
260,11.266253,-663.729858,11.266308,-663.728333
261,11.105787,-655.596680,11.101162,-655.600220
262,10.942585,-647.710205,10.939018,-647.703369
263,10.783091,-640.046509,10.782758,-640.047485
264,10.626687,-632.607971,10.647519,-632.613403
265,10.467151,-625.377258,10.461555,-625.390198
266,10.314176,-618.349426,10.304553,-618.356750
267,10.159163,-611.509338,10.160118,-611.510864
268,10.008487,-604.853638,10.008336,-604.846069
269,9.857837,-598.376038,9.849277,-598.381287
270,9.705815,-592.065308,9.698484,-592.058777
271,9.562613,-585.911499,9.560606,-585.906799
272,9.410960,-579.917603,9.413652,-579.919861
273,9.269788,-574.066467,9.263016,-574.066895
274,9.127251,-568.361694,9.139903,-568.368042
275,8.983821,-562.787903,8.989369,-562.788940
276,8.845983,-557.350830,8.844384,-557.361633
277,8.703195,-552.040833,8.699374,-552.047058
278,8.569530,-546.848694,8.564466,-546.844910
279,8.429249,-541.778320,8.421026,-541.981689
280,8.296625,-536.815491,8.299416,-536.806213
281,8.164249,-531.962769,8.167978,-531.962341
282,8.029344,-527.214783,8.032393,-527.218506
283,7.896330,-522.565308,7.894512,-522.568115
284,7.765173,-518.019836,7.762024,-518.019714
285,7.636034,-513.563599,7.637863,-513.563171
286,7.508288,-509.200806,7.488046,-509.255249
287,7.379195,-504.926300,7.364515,-504.935669
288,7.255280,-500.735443,7.258582,-500.737976
289,7.127659,-496.629150,7.134565,-496.631195
290,7.003926,-492.599854,7.005602,-492.602386
291,6.881446,-488.650085,6.881033,-488.652283
292,6.755124,-484.770966,6.757360,-484.764374
293,6.635618,-480.967896,6.635164,-480.961395
294,6.515599,-477.233582,6.516121,-477.235931
295,6.396584,-473.564972,6.398864,-473.565552
296,6.283041,-469.967743,6.284329,-469.975067
297,6.165176,-466.430267,6.166057,-466.433228
298,6.036945,-462.952423,6.038682,-462.950745
299,5.930715,-459.546173,5.952288,-459.618011
300,5.817060,-456.190582,5.810430,-456.188080
301,5.702134,-452.896454,5.697520,-452.903656
302,5.585677,-449.652527,5.597856,-449.655365
303,5.472814,-446.464294,5.473468,-446.474213
304,5.357514,-443.326538,5.357405,-443.321930
305,5.246460,-440.235107,5.253332,-440.228546
306,5.130541,-437.191498,5.168172,-437.160248
307,5.046518,-434.233612,5.015476,-434.213745
308,4.926130,-431.275085,4.927406,-431.272156
309,4.816172,-428.377930,4.820837,-428.388245
310,4.717802,-425.520874,4.710507,-425.523865
311,4.608859,-422.711853,4.608644,-422.711395
312,4.506664,-419.944000,4.518845,-419.909637
313,4.400018,-417.220947,4.390913,-417.237946
314,4.290674,-414.536804,4.295295,-414.544769
315,4.191690,-411.893433,4.196516,-411.890137
316,4.088750,-409.286163,4.089903,-409.286346
317,3.986880,-406.710876,3.986655,-406.704895
318,3.883032,-404.176910,3.881049,-404.176758
319,3.776551,-401.676178,3.783032,-401.696350
320,3.679269,-399.215179,3.643752,-399.255005
321,3.582586,-396.785645,3.590163,-396.787537
322,3.488373,-394.382324,3.478938,-394.391052
323,3.382872,-392.014740,3.383924,-392.016235
324,3.275451,-389.678619,3.272896,-389.674500
325,3.173982,-387.388489,3.176481,-387.382690
326,3.081489,-385.134369,3.039829,-385.091827
327,3.010722,-382.898285,3.009722,-382.887665
328,2.933083,-380.674896,2.939014,-380.677002
329,2.848040,-378.459381,2.850528,-378.458740
330,2.741900,-376.285767,2.732809,-376.286530
331,2.624681,-374.148132,2.638631,-374.152954
332,2.526939,-372.062317,2.582942,-372.053467
333,2.428864,-369.999878,2.440130,-369.998260
334,2.383541,-367.924133,2.388080,-367.922241
335,2.243977,-365.872040,2.241420,-365.881592
336,2.204110,-363.891266,2.205362,-363.892120
337,2.058223,-361.890137,2.058314,-361.887177
338,1.997161,-359.942719,2.030668,-359.870453
339,1.898008,-357.996185,1.901097,-357.992157
340,1.810994,-356.090485,1.838847,-356.093109
341,1.718111,-354.189758,1.715471,-354.184570
342,1.637082,-352.310089,1.637581,-352.309662
343,1.545549,-350.461243,1.537829,-350.459747
344,1.452915,-348.631104,1.454293,-348.625122
345,1.367373,-346.826569,1.362110,-346.825256
346,1.280624,-345.033417,1.276233,-344.873016
347,1.197859,-343.258270,1.200907,-343.254272
348,1.108243,-341.507385,1.116292,-341.515503
349,1.019985,-339.771393,1.028804,-339.772400
350,0.934126,-338.060455,0.934726,-338.079834
351,0.850112,-336.361816,0.853199,-336.374664
352,0.771309,-334.678741,0.774871,-334.685547
353,0.682480,-333.015717,0.668574,-333.009155
354,0.596203,-331.371948,0.589842,-331.365082
355,0.510035,-329.745728,0.505776,-329.752136
356,0.433509,-328.135315,0.453149,-328.117920
357,0.349322,-326.533203,0.351222,-326.535522
358,0.266513,-324.958008,0.285446,-324.987335
359,0.184102,-323.385162,0.197053,-323.402557
360,0.099968,-321.835968,0.098802,-321.810913
361,0.016473,-320.300690,-0.005030,-320.272095
362,-0.060562,-318.782471,-0.055008,-318.777252
363,-0.143576,-317.277191,-0.149746,-317.290924
364,-0.222975,-315.781189,-0.205135,-315.780060
365,-0.304832,-314.305939,-0.251161,-314.357666
366,-0.382711,-312.838226,-0.365857,-312.828461
367,-0.463352,-311.388733,-0.465979,-311.374664
368,-0.546296,-309.948334,-0.555739,-309.942261
369,-0.628216,-308.524353,-0.626397,-308.513306
370,-0.708678,-307.116028,-0.714763,-307.114929
371,-0.787250,-305.715759,-0.781290,-305.711395
372,-0.863383,-304.331818,-0.764420,-304.287628
373,-0.942993,-302.957611,-0.937936,-302.958893
374,-1.019575,-301.592346,-1.018328,-301.588257
375,-1.100910,-300.242706,-1.114687,-300.222870
376,-1.179234,-298.903778,-1.175227,-298.901642
377,-1.256143,-297.579376,-1.250624,-297.569061
378,-1.335360,-296.263153,-1.309088,-296.244385
379,-1.410898,-294.956726,-1.384792,-294.941925
380,-1.491852,-293.660400,-1.480893,-293.656921
381,-1.567587,-292.376251,-1.584960,-292.365936
382,-1.644541,-291.106628,-1.644847,-291.114227
383,-1.724124,-289.840240,-1.724063,-289.842407
384,-1.798316,-288.591858,-1.789270,-288.592957
385,-1.872953,-287.349609,-1.876967,-287.351929
386,-1.953094,-286.114349,-1.988300,-286.169769
387,-2.025443,-284.895294,-2.039914,-284.891052
388,-2.103667,-283.684387,-2.103210,-283.681915
389,-2.176919,-282.477814,-2.162994,-282.482727
390,-2.254824,-281.282257,-2.245973,-281.276733
391,-2.331668,-280.094208,-2.329440,-280.115173
392,-2.406989,-278.922577,-2.402115,-278.922455
393,-2.482397,-277.757721,-2.457348,-277.745239
394,-2.554947,-276.598816,-2.549784,-276.603027
395,-2.628922,-275.448090,-2.614671,-275.431824
396,-2.707288,-274.301453,-2.724619,-274.299316
397,-2.782830,-273.178894,-2.785851,-273.186066
398,-2.859498,-272.051178,-2.862650,-272.049805
399,-2.935407,-270.936401,-2.916999,-270.943573
400,-3.012211,-269.828583,-3.021367,-269.817657
401,-3.084393,-268.726959,-3.072247,-268.745056
402,-3.161327,-267.636627,-3.176844,-267.648132
403,-3.234964,-266.550262,-3.224130,-266.549561
404,-3.306936,-265.473785,-3.296609,-265.466125
405,-3.383154,-264.402039,-3.379796,-264.402557
406,-3.453020,-263.342834,-3.451539,-263.339844
407,-3.529554,-262.294647,-3.520112,-262.299347
408,-3.612175,-261.265961,-3.606921,-261.253998
409,-3.665823,-260.189606,-3.675685,-260.201965
410,-3.745927,-259.162903,-3.870492,-259.115448
411,-3.823204,-258.139587,-3.832282,-258.154846
412,-3.902304,-257.125244,-3.894839,-257.133057
413,-3.978373,-256.110229,-3.964079,-256.119934
414,-4.052011,-255.109055,-4.091443,-255.166946
415,-4.127472,-254.105347,-4.168709,-254.133392
416,-4.197405,-253.112503,-4.190679,-253.112289
417,-4.272147,-252.123352,-4.270380,-252.125336
418,-4.345309,-251.141434,-4.341013,-251.135956
419,-4.421193,-250.169312,-4.402174,-250.174927
420,-4.493921,-249.199142,-4.487191,-249.199265
421,-4.564717,-248.238815,-4.575701,-248.250854
422,-4.642909,-247.282639,-4.635874,-247.281555
423,-4.715845,-246.333725,-4.710533,-246.333435
424,-4.782416,-245.390228,-4.765925,-245.370422
425,-4.864359,-244.449066,-4.857945,-244.453537
426,-4.935752,-243.516098,-4.937184,-243.538788
427,-5.015698,-242.585846,-4.995630,-242.583588
428,-5.087424,-241.664642,-5.089380,-241.668579
429,-5.165573,-240.749054,-5.174610,-240.747391
430,-5.236390,-239.837006,-5.230293,-239.830521
431,-5.308242,-238.932846,-5.258339,-239.091705
432,-5.384945,-238.027206,-5.385693,-238.027893
433,-5.460815,-237.134766,-5.467047,-237.093842
434,-5.539268,-236.245438,-5.534925,-236.237869
435,-5.607295,-235.359039,-5.604752,-235.352722
436,-5.683042,-234.480148,-5.707439,-234.476013
437,-5.757275,-233.595551,-5.764322,-233.600525
438,-5.833995,-232.728317,-5.801353,-232.705185
439,-5.918844,-231.863693,-5.918315,-231.867004
440,-5.979315,-231.009186,-5.977373,-231.012131
441,-6.052062,-230.158493,-6.059095,-230.157974
442,-6.107733,-229.277176,-6.103983,-229.275177
443,-6.225468,-228.442841,-6.230135,-228.440933
444,-6.258928,-227.598511,-6.259781,-227.603058
445,-6.363273,-226.738586,-6.281540,-226.693649
446,-6.440766,-225.914124,-6.425159,-225.901260
447,-6.523314,-225.094482,-6.522041,-225.091599
448,-6.589076,-224.266434,-6.584297,-224.264709
449,-6.662931,-223.444397,-6.663309,-223.407303
450,-6.742412,-222.619629,-6.751401,-222.623169
451,-6.818850,-221.811722,-6.807905,-221.791718
452,-6.897503,-221.003876,-6.924926,-221.011551
453,-6.965168,-220.200546,-6.958646,-220.203232
454,-7.039372,-219.394730,-7.043941,-219.380859
455,-7.116551,-218.588730,-6.910445,-218.503571
456,-7.199072,-217.788910,-7.196932,-217.795761
457,-7.282670,-217.000320,-7.277861,-216.997787
458,-7.358152,-216.221420,-7.333930,-216.224609
459,-7.433844,-215.438004,-7.450339,-215.406586
460,-7.505605,-214.653778,-7.502481,-214.646072
461,-7.583605,-213.872620,-7.581237,-213.869308
462,-7.670001,-213.099472,-7.664304,-213.096909
463,-7.747471,-212.338882,-7.691671,-212.369080
464,-7.826370,-211.573135,-7.820600,-211.584793
465,-7.895650,-210.808273,-7.859563,-210.866440
466,-7.983798,-210.046478,-7.937282,-210.094376
467,-8.057535,-209.278046,-8.045907,-209.280716
468,-8.134632,-208.550537,-8.122794,-208.550781
469,-8.225344,-207.772003,-8.177722,-207.772263
470,-8.310321,-207.042450,-8.305323,-207.041031
471,-8.367730,-206.291153,-8.381805,-206.288712
472,-8.464214,-205.568558,-8.460507,-205.572952
473,-8.539034,-204.812973,-8.540338,-204.796051
474,-8.621950,-204.084137,-8.617629,-204.079590
475,-8.706271,-203.346222,-8.699682,-203.346542
476,-8.781781,-202.624512,-8.779932,-202.624023
477,-8.869338,-201.900757,-8.858814,-201.883026
478,-8.947455,-201.174911,-8.940422,-201.183975
479,-9.029869,-200.454803,-9.028630,-200.451309
480,-9.111214,-199.730835,-9.150318,-199.810516
481,-9.188643,-199.018082,-9.181163,-199.019516
482,-9.283466,-198.309464,-9.275455,-198.311966
483,-9.354447,-197.604401,-9.351255,-197.597595
484,-9.452638,-196.889725,-9.448334,-196.899246
485,-9.535294,-196.178650,-9.533231,-196.174255
486,-9.618628,-195.505829,-9.620172,-195.499023
487,-9.697937,-194.788712,-9.688071,-194.768677
488,-9.777596,-194.089813,-9.777799,-194.100281
489,-9.863289,-193.396515,-9.918951,-193.410309
490,-9.947997,-192.707520,-10.013548,-192.613770
491,-10.036918,-192.021576,-10.025570,-192.011353
492,-10.121853,-191.330124,-10.120052,-191.322418
493,-10.206861,-190.641357,-10.204235,-190.643021
494,-10.294627,-189.957672,-10.487236,-190.037537
495,-10.380587,-189.278366,-10.390517,-189.265442
496,-10.471021,-188.602081,-10.467484,-188.609970
497,-10.556715,-187.924088,-10.556237,-187.918488
498,-10.640964,-187.248398,-10.632444,-187.239029
499,-10.730320,-186.575089,-10.721409,-186.564911
500,-10.819515,-185.907074,-10.824642,-185.922867
501,-10.913504,-185.240585,-10.887450,-185.249832
502,-10.988463,-184.576996,-10.981433,-184.530594
503,-11.086349,-183.904846,-11.073034,-183.920547
504,-11.176804,-183.239059,-11.197680,-183.210800
505,-11.267117,-182.580353,-11.294561,-182.559357
506,-11.361149,-181.924179,-11.347695,-181.962738
507,-11.452584,-181.267334,-11.548167,-181.280930
508,-11.541806,-180.609650,-11.516682,-180.552719
509,-11.631710,-179.953568,-11.628839,-179.947952
510,-11.727072,-179.299820,-11.724770,-179.309128
511,-11.826422,-178.652206,-11.700554,-178.728577
512,-11.915627,-178.004135,-11.905896,-177.989349
513,-12.010923,-177.359375,-12.019719,-177.359406
514,-12.103259,-176.707413,-12.097221,-176.711304
515,-12.198897,-176.066315,-12.230559,-176.073349
516,-12.296642,-175.424698,-12.296483,-175.416931
517,-12.390434,-174.783890,-12.377480,-174.779144
518,-12.488148,-174.144470,-12.499028,-174.137772
519,-12.581745,-173.502243,-12.576575,-173.492569
520,-12.679224,-172.866486,-12.657861,-172.838516
521,-12.781800,-172.231918,-12.781910,-172.227905
522,-12.877642,-171.601639,-12.744880,-171.800888
523,-12.977021,-170.965683,-12.980929,-170.974060
524,-13.074333,-170.330261,-13.074760,-170.327606
525,-13.173219,-169.699890,-13.167705,-169.706985
526,-13.279891,-169.071030,-13.270781,-169.065552
527,-13.380936,-168.445175,-13.374463,-168.440720
528,-13.479261,-167.822571,-13.477394,-167.825806
529,-13.576668,-167.185318,-13.572515,-167.178558
530,-13.684828,-166.572739,-13.672778,-166.575409
531,-13.781247,-165.940903,-13.764127,-165.949448
532,-13.889668,-165.318604,-13.874311,-165.412521
533,-13.996165,-164.693253,-13.979035,-164.672058
534,-14.098890,-164.074692,-14.128817,-164.075226
535,-14.206354,-163.454895,-14.225388,-163.443771
536,-14.311518,-162.833115,-14.326361,-162.834824
537,-14.419663,-162.216522,-14.430840,-162.209091
538,-14.528345,-161.596756,-14.521104,-161.598282
539,-14.632545,-160.982513,-14.619187,-161.008331
540,-14.744781,-160.364594,-14.733161,-160.357330
541,-14.851784,-159.745392,-14.777795,-159.746109
542,-14.967993,-159.131332,-14.953859,-159.127396
543,-15.082466,-158.520752,-15.093363,-158.509857
544,-15.189054,-157.908798,-15.183569,-157.909790
545,-15.300518,-157.296051,-15.259831,-157.275177
546,-15.412784,-156.680695,-15.409080,-156.674683
547,-15.528149,-156.068359,-15.530051,-156.062149
548,-15.646578,-155.456894,-15.666270,-155.469589
549,-15.759272,-154.850677,-15.752164,-154.848572
550,-15.873131,-154.240677,-15.862325,-154.239868
551,-15.987978,-153.627213,-15.990884,-153.586670
552,-16.108727,-153.017319,-16.118803,-153.045609
553,-16.230339,-152.405838,-16.272017,-152.375015
