Index,FFT_Real,FFT_Imag,DFT_Real,DFT_Imag
0,3859.433350,0.000000,3859.428711,0.000000
1,3903.072510,272.521484,3903.062500,272.514343
2,4039.250000,560.992798,4039.247314,561.008118
3,4285.537598,884.713074,4285.532715,884.717529
4,4677.892090,1271.363770,4677.901367,1271.377319
5,5285.717285,1766.701660,5285.716309,1766.701416
6,6249.730469,2457.555420,6249.763672,2457.525635
7,7892.782227,3537.570068,7892.805176,3537.471436
8,11137.546875,5554.577637,11137.526367,5554.634277
9,20067.734375,10925.381836,20067.693359,10925.244141
10,134888.062500,78912.382812,134888.000000,78912.375000
11,-27116.599609,-16820.802734,-27116.320312,-16820.693359
12,-12127.365234,-7885.012207,-12127.356445,-7884.930176
13,-7766.509277,-5239.158203,-7766.476074,-5239.138672
14,-5706.735352,-3957.818604,-5706.702148,-3957.813232
15,-4517.415039,-3194.341797,-4517.401855,-3194.350342
16,-3749.807373,-2682.819580,-3749.808838,-2682.801514
17,-3218.131592,-2312.953857,-3218.132080,-2312.926758
18,-2831.685303,-2030.692017,-2831.697021,-2030.662354
19,-2540.992676,-1806.400146,-2540.982910,-1806.367065
20,-2316.733154,-1622.435059,-2316.707031,-1622.428833
21,-2140.675781,-1467.595581,-2140.661865,-1467.595337
22,-2000.630005,-1334.471191,-2000.635742,-1334.437256
23,-1888.458496,-1217.838257,-1888.467041,-1217.849243
24,-1798.356812,-1113.973389,-1798.340088,-1113.965332
25,-1726.228516,-1020.134338,-1726.228638,-1020.134338
26,-1669.048096,-934.162476,-1669.040771,-934.137695
27,-1624.641968,-854.421753,-1624.632568,-854.412415
28,-1591.390259,-779.523193,-1591.369263,-779.516113
29,-1568.165527,-708.335999,-1568.176025,-708.337708
30,-1554.185425,-639.858276,-1554.192505,-639.874512
31,-1548.996948,-573.209229,-1549.000000,-573.211304
32,-1552.384766,-507.541595,-1552.392700,-507.531555
33,-1564.432617,-442.028931,-1564.431641,-442.021271
34,-1585.461182,-375.798798,-1585.453003,-375.789825
35,-1616.140137,-307.923828,-1616.136597,-307.907104
36,-1657.459961,-237.342087,-1657.462158,-237.342590
37,-1710.874390,-162.806213,-1710.866577,-162.790573
38,-1778.427856,-82.760201,-1778.418457,-82.755035
39,-1862.971069,4.788476,-1862.964355,4.803935
